"q_id","url_id","corpus","source_type","community","thread_id","thread_title","thread_url","unit_type","source_url","unique_author_id","date_posted","date_retrieved","thread_score","unit_score","star_rating","is_purchaser_source","tier","recipe_id","harvester_id","exact_quote","exact_passage","opening_first_sentence","opening_first_2_5","translation","reading_grade","pb_ids","population_id","population_tags","time_with_problem","severity","onset_trigger","current_stage","solutions_tried","progress","life_context","tags","solution_status","awareness_stage","awareness_ref","speaker_stage","speaker_locator","evidence_class","as_ids","fs_id","cluster_ids","stamps","notes"
"Q-Y-0001","URL-02","MARKET_VOC","youtube_search","YouTube","x9lgR_iHPuQ","","https://youtu.be/x9lgR_iHPuQ","transcript","https://youtu.be/x9lgR_iHPuQ","Jenny Hoyos","~2022","2026-09-24","","","","N","[R-SCRAPE]","RC-YTX","HV-PB-06","i've already lost 500 drop shipping","i'm gonna make a profitable drop shipping store in one week and show you how i did it step by step but there's a problem i've already lost 500 drop shipping so this challenge can smack my bank account","","","","","PB-06","CP-03","CP-03","","","","","1st store (unspecified product)","","","pain,spend,scene","TRIED-FAILED","AW-2","dropshipping/e-commerce category (not Readymerce)","seeker","2nd attempt after $500 loss, on camera","VERBATIM_VOC","","","","",""
"Q-Y-0002","URL-02","MARKET_VOC","youtube_search","YouTube","x9lgR_iHPuQ","","https://youtu.be/x9lgR_iHPuQ","transcript","https://youtu.be/x9lgR_iHPuQ","Jenny Hoyos","~2022","2026-09-24","","","","N","[R-SCRAPE]","RC-YTX","HV-PB-06","i got zero sales which means i lost 254 dollars","i spent forty four dollars to make the website and two hundred and ten dollars on the ads which totals two hundred and fifty four dollars gone and i got zero sales which means i lost 254 dollars","","","","","PB-06","CP-03","CP-03","","","","","skin scrubber store (2nd attempt)","","","outcome_reported,spend,pain","TRIED-FAILED","AW-2","dropshipping/e-commerce category (not Readymerce)","seeker","documenting a 1-week challenge attempt","VERBATIM_VOC","","","","",""
"Q-Y-0003","URL-02","MARKET_VOC","youtube_search","YouTube","x9lgR_iHPuQ","","https://youtu.be/x9lgR_iHPuQ","transcript","https://youtu.be/x9lgR_iHPuQ","Jenny Hoyos","~2022","2026-09-24","","","","N","[R-SCRAPE]","RC-YTX","HV-PB-06","i failed the challenge","but regardless i failed the challenge and that's why i'm going to continue working on the store to make it profitable","","","","","PB-06","CP-03","CP-03","","","","","","","","outcome_reported,made_them_act","TRIED-FAILED","AW-2","dropshipping/e-commerce category (not Readymerce)","seeker","chooses to keep going after failed challenge","VERBATIM_VOC","","","","",""
"Q-Y-0004","URL-02","MARKET_VOC","youtube_search","YouTube","x9lgR_iHPuQ","","https://youtu.be/x9lgR_iHPuQ","transcript","https://youtu.be/x9lgR_iHPuQ","Jenny Hoyos","~2022","2026-09-24","","","","N","[R-SCRAPE]","RC-YTX","HV-PB-06","make it seem like easy money when it's really not","it's crazy because i've seen other drop shipping videos that make it seem like easy money when it's really not you spend hours watching tutorials spend hundreds on ads only to lose all your money","","","","","PB-06","CP-03","CP-03,CP-05","","","","","","","","skepticism,tired_of_hearing,enemy_blame","","AW-3","dropshipping/e-commerce category (not Readymerce)","seeker","naming guru content as misleading","VERBATIM_VOC","","","","","AS-01-relevant: skepticism of guru/DFY-adjacent promises"
"Q-Y-0005","URL-03","MARKET_VOC","youtube_search","YouTube","OOfML4xMiC4","","https://youtu.be/OOfML4xMiC4","transcript","https://youtu.be/OOfML4xMiC4","Dylan Fisher","~2026","2026-09-24","","","","N","[R-SCRAPE]","RC-YTX","HV-PB-06","lost 40k in total, and almost had zero results","I spent 8 months doing the right things, spent 10k on a mentorship, lost 40k in total, and almost had zero results","","","","","PB-06","CP-03","CP-03,CP-05","","","","","fashion dropshipping store via paid mentor","","","pain,spend,outcome_reported","TRIED-FAILED","AW-3","dropshipping/e-commerce category (not Readymerce)","veteran","8 months into a paid mentorship program","VERBATIM_VOC","","","","",""
"Q-Y-0006","URL-03","MARKET_VOC","youtube_search","YouTube","OOfML4xMiC4","","https://youtu.be/OOfML4xMiC4","transcript","https://youtu.be/OOfML4xMiC4","Dylan Fisher","~2026","2026-09-24","","","","N","[R-SCRAPE]","RC-YTX","HV-PB-06","the strategy was dead, and no one told me","It wasn't because I wasn't smart enough, and it wasn't because I wasn't working hard enough. The strategy was dead, and no one told me.","","","","","PB-06","CP-03","CP-03,CP-05","","","","","","","","belief,enemy_blame,skepticism","","AW-3","dropshipping/e-commerce category (not Readymerce)","veteran","blames the outdated strategy, not himself","VERBATIM_VOC","","","","","enemy_blame target: mentor/coach"
"Q-Y-0007","URL-03","MARKET_VOC","youtube_search","YouTube","OOfML4xMiC4","","https://youtu.be/OOfML4xMiC4","transcript","https://youtu.be/OOfML4xMiC4","Dylan Fisher","~2026","2026-09-24","","","","N","[R-SCRAPE]","RC-YTX","HV-PB-06","this coach never even scheduled a call with me","I tested about 100 products and this coach never even scheduled a call with me. Like I didn't even understand the system that we're meant to have.","","","","","PB-06","CP-03","CP-03,CP-05","","","","","1-on-1 paid mentorship coach","","","objection,failed_solution,skepticism","TRIED-FAILED","AW-3","dropshipping/e-commerce category (not Readymerce)","veteran","paid $10k, coach unresponsive","VERBATIM_VOC","","","","","fs_id candidate: paid-mentorship"
"Q-Y-0008","URL-03","MARKET_VOC","youtube_search","YouTube","OOfML4xMiC4","","https://youtu.be/OOfML4xMiC4","transcript","https://youtu.be/OOfML4xMiC4","Dylan Fisher","~2026","2026-09-24","","","","N","[R-SCRAPE]","RC-YTX","HV-PB-06","i've just paid $10,000 for this one-on-one mentorship","I've just paid $10,000 for this one-on-one mentorship for 3 months, which is a lot of money, and the videos are that outdated.","","","","","PB-06","CP-05","CP-05","","","","","paid mentorship","","","spend,skepticism,objection","TRIED-FAILED","AW-3","dropshipping/e-commerce category (not Readymerce)","veteran","realizes the paid content is stale","VERBATIM_VOC","","","","",""
"Q-Y-0009","URL-03","MARKET_VOC","youtube_search","YouTube","OOfML4xMiC4","","https://youtu.be/OOfML4xMiC4","transcript","https://youtu.be/OOfML4xMiC4","Dylan Fisher","~2026","2026-09-24","","","","N","[R-SCRAPE]","RC-YTX","HV-PB-06","he pretty much kicked me out the community","then he basically kicked me out the community and stopped the coaching and with him I lost about another 4k euro or dollars I can't even remember.","","","","","PB-06","CP-05","CP-05","","","","","2nd paid mentorship","","","horror_story,spend,skepticism","TRIED-FAILED","AW-3","dropshipping/e-commerce category (not Readymerce)","veteran","2nd paid mentor also failed him, kicked out for non-payment dispute","VERBATIM_VOC","","","","","enemy_blame target: 2nd mentor"
"Q-Y-0010","URL-03","MARKET_VOC","youtube_search","YouTube","OOfML4xMiC4","","https://youtu.be/OOfML4xMiC4","transcript","https://youtu.be/OOfML4xMiC4","Dylan Fisher","~2026","2026-09-24","","","","N","[R-SCRAPE]","RC-YTX","HV-PB-06","I'm definitely quitting fashion drop shipper","wow, what am I going to do now, man? Like, I'm definitely quitting fashion drop shipper. Like, that was there was no way I was joining another program","","","","","PB-06","CP-03","CP-03","","","","","fashion niche dropshipping","","","almost_stopped,emotion:hopeless","STOPPED-SIDE-EFFECTS","AW-3","dropshipping/e-commerce category (not Readymerce)","veteran","decision point after losing ~$44k across 2 mentors","VERBATIM_VOC","","","","",""
